"REID","PIN","ADDRESS","LAND_CLASS","ASSESSED_VALUE_2024","VCS","ASSESSED_VALUE_2025","ASSESSED_VALUE_2021","ASSESSED_VALUE_2022","ASSESSED_VALUE_2023","ASSESSMENT_CHANGE","VCS_NEIGHBORHOOD","NEIGHBORHOOD","COUNTY","PRICE","SALE_DATE","SALE_YEAR","SALE_YEAR_ASSESSED_VALUE","SALES_RATIO"
"118036",831118548,"1105   LINWOOD AVE","RES/ 1-FAMILY",106042,"R830G - HABITATE HAY DEVELOPMENT",233972,64181,64181,106042,120.640878142623,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",230000,"2022-02-03",2022,64181,0.279047826086956
"118048",831116604,"1003   LINWOOD AVE","RES/ 2-FAMILY",76675,"R830G - HABITATE HAY DEVELOPMENT",397862,76675,76675,76675,418.894033257255,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",428000,"2024-05-09",2024,76675,0.179147196261682
"118049",831115656,"1001   LINWOOD AVE","RES/ 2-FAMILY",76495,"R830G - HABITATE HAY DEVELOPMENT",396987,76495,76495,76495,418.971174586574,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",428000,"2024-05-28",2024,76495,0.178726635514019
"118050",831116652,"1005   LINWOOD AVE","RES/ 2-FAMILY",76595,"R830G - HABITATE HAY DEVELOPMENT",396987,76595,76595,76595,418.293622299106,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",428000,"2024-05-03",2024,76595,0.178960280373832
"118051",831116725,"905   COLFAX ST","RES/ 2-FAMILY",90530,"R830G - HABITATE HAY DEVELOPMENT",403230,90530,90530,90530,345.41036120623,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",423500,"2024-11-25",2024,90530,0.213766233766234
"118053",831115511,"1000   LINWOOD AVE","RES/ 1-FAMILY",183156,"R830G - HABITATE HAY DEVELOPMENT",306371,22660,21840,142817,67.273253401472,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",295000,"2023-03-30",2023,142817,0.484125423728814
"118054",831115462,"1005   COLFAX ST","RES/ 1-FAMILY",148362,"R830G - HABITATE HAY DEVELOPMENT",256117,78286,78286,148362,72.6297839069303,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",260000,"2022-11-08",2022,78286,0.3011
"118055",831115352,"1009   COLFAX ST","RES/ 1-FAMILY",264571,"R830G - HABITATE HAY DEVELOPMENT",504814,49491,49491,23800,90.8047367247355,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",515000,"2024-03-28",2024,264571,0.513730097087379
"118071",831116437,"1006   LINWOOD AVE","RES/ 1-FAMILY",72648,"R830G - HABITATE HAY DEVELOPMENT",210218,72648,72648,72648,189.365158022244,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",250000,"2022-03-11",2022,72648,0.290592
"118072",831115489,"1004   LINWOOD AVE","RES/ 1-FAMILY",185667,"R830G - HABITATE HAY DEVELOPMENT",317448,22520,21640,138447,70.9770718544491,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",295000,"2023-05-16",2023,138447,0.46931186440678
"118081",831114759,"906   COLFAX ST","RES/ 1-FAMILY",70709,"R830G - HABITATE HAY DEVELOPMENT",214089,70709,70709,70709,202.774752860315,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",252500,"2022-03-16",2022,70709,0.280035643564356
"118095",831029167,"1209   LINCOLN ST","RES/ 1-FAMILY",165436,"R830G - HABITATE HAY DEVELOPMENT",276688,78829,78829,165436,67.2477574409439,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",310000,"2022-09-20",2022,78829,0.254287096774194
"118146",831121660,"622  E UMSTEAD ST","RES/ 1-FAMILY",222279,"R830G - HABITATE HAY DEVELOPMENT",332889,166256,222279,222279,49.7617858637118,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",335000,"2022-01-18",2022,222279,0.663519402985075
"118149",831029538,"612  E UMSTEAD ST","RES/ 1-FAMILY",154667,"R830G - HABITATE HAY DEVELOPMENT",283368,154667,154667,154667,83.2116741127713,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",266000,"2021-04-15",2021,154667,0.581454887218045
"118156",831021581,"509   SIMMONS ST","RES/ 1-FAMILY",184026,"R830G - HABITATE HAY DEVELOPMENT",307080,64213,184026,184026,66.8677252127417,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",338000,"2021-06-30",2021,64213,0.189979289940828
"118157",831022569,"514  E UMSTEAD ST","RES/ 1-FAMILY",72377,"R830G - HABITATE HAY DEVELOPMENT",242512,72377,72377,72377,235.067770147975,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",275000,"2023-10-04",2023,72377,0.263189090909091
"118161",821929480,"1211   FAYETTEVILLE ST","RES/ 2-FAMILY",129376,"C821E - NC CENTRAL AREA",NA,197201,197201,197201,NA,"NC CENTRAL AREA","","Durham County",275000,"2021-02-22",2021,197201,0.717094545454545
"118174",831111378,"801   MASSEY AVE","RES/ 1-FAMILY",63104,"R830G - HABITATE HAY DEVELOPMENT",208895,63104,63104,63104,231.032898073022,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",203611,"2024-08-26",2024,63104,0.309924316466203
"118177",831113323,"809   MASSEY AVE","RES/ 1-FAMILY",69131,"R830G - HABITATE HAY DEVELOPMENT",198332,69131,69131,69131,186.89300024591,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",207500,"2024-11-25",2024,69131,0.333161445783133
"118183",831018775,"800   LINWOOD AVE","RES/ 1-FAMILY",325783,"R830G - HABITATE HAY DEVELOPMENT",426768,325783,325783,325783,30.9976272549519,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",435000,"2024-04-26",2024,325783,0.748926436781609
"118191",831110443,"713   MASSEY AVE","RES/ 1-FAMILY",144729,"R830G - HABITATE HAY DEVELOPMENT",303521,50909,50909,50909,109.716781018317,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",315000,"2024-07-12",2024,144729,0.459457142857143
"118199",831015705,"1305   SPAULDING ST","RES/ 1-FAMILY",108079,"R830G - HABITATE HAY DEVELOPMENT",229285,65512,108079,108079,112.145745241906,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",196000,"2021-08-30",2021,65512,0.334244897959184
"118200",831014659,"617   MASSEY AVE","RES/ 1-FAMILY",67596,"R830G - HABITATE HAY DEVELOPMENT",217541,67596,67596,67596,221.825255932304,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",215000,"2024-06-25",2024,67596,0.3144
"118204",831016605,"623   MASSEY AVE","RES/ 1-FAMILY",250670,"R830G - HABITATE HAY DEVELOPMENT",372109,95625,95625,250670,48.445765348865,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",365000,"2024-02-16",2024,250670,0.686767123287671
"118215",831019293,"1100   GRANT ST","RES/ 1-FAMILY",155097,"R830G - HABITATE HAY DEVELOPMENT",250354,88658,88658,88658,61.417693443458,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",190000,"2023-05-15",2023,88658,0.466621052631579
"118222",831017371,"1409   LINCOLN ST","RES/ 1-FAMILY",116280,"R830G - HABITATE HAY DEVELOPMENT",232706,116280,116280,116280,100.125558995528,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",257000,"2022-06-27",2022,116280,0.452451361867704
"118223",831017255,"1411   LINCOLN ST","RES/ 1-FAMILY",63231,"R830G - HABITATE HAY DEVELOPMENT",205100,63231,63231,63231,224.366212775379,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",129000,"2022-10-14",2022,63231,0.490162790697674
"118224",831010541,"601   PRICE AVE","RES/ 1-FAMILY",218778,"R830G - HABITATE HAY DEVELOPMENT",370059,97669,218778,218778,69.1481776046952,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",481000,"2021-11-30",2021,97669,0.203054054054054
"118227",831011497,"607   PRICE AVE","RES/ 1-FAMILY",193461,"R830G - HABITATE HAY DEVELOPMENT",287042,72456,72456,72456,48.3720233018541,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",340000,"2023-06-29",2023,72456,0.213105882352941
"118249",831011622,"604   MASSEY AVE","RES/ 1-FAMILY",231540,"R830G - HABITATE HAY DEVELOPMENT",326744,162736,162736,162736,41.1177334369871,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",425000,"2023-09-29",2023,162736,0.382908235294118
"118257",821918556,"507   PRICE AVE","RES/ 1-FAMILY",247475,"R830G - HABITATE HAY DEVELOPMENT",241941,247475,247475,247475,-2.23618547328013,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",229000,"2024-02-16",2024,247475,1.0806768558952
"118258",821919505,"509   PRICE AVE","RES/ 1-FAMILY",162034,"R830G - HABITATE HAY DEVELOPMENT",273439,119756,119756,162034,68.7540886480615,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",326000,"2022-01-26",2022,119756,0.367349693251534
"118259",821919554,"511   PRICE AVE","RES/ 1-FAMILY",167306,"R830G - HABITATE HAY DEVELOPMENT",278723,167306,167306,167306,66.594742567511,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",309000,"2022-02-09",2022,167306,0.541443365695793
"118268",821927308,"1211   DAWKINS ST","RES/ 2-FAMILY",226821,"R821A - SOUTHSIDE NEW CONSTR",347208,226821,226821,226821,53.0757734072242,"SOUTHSIDE NEW CONSTR","","Durham County",365000,"2024-11-13",2024,226821,0.621427397260274
"118293",821925351,"1218   DAWKINS ST","RES/ 2-FAMILY",105131,"R821A - SOUTHSIDE NEW CONSTR",104821,105131,105131,105131,-0.294870209548088,"SOUTHSIDE NEW CONSTR","","Durham County",88500,"2024-01-12",2024,105131,1.1879209039548
"118298",821925458,"1208   DAWKINS ST","RES/ 2-FAMILY",189688,"R821A - SOUTHSIDE NEW CONSTR",287099,189688,189688,189688,51.3532748513348,"SOUTHSIDE NEW CONSTR","","Durham County",150000,"2021-02-15",2021,189688,1.26458666666667
"118305",821923558,"310  E UMSTEAD ST","RES/ 1-FAMILY",239525,"R821A - SOUTHSIDE NEW CONSTR",338262,147791,147791,147791,41.2220018787183,"SOUTHSIDE NEW CONSTR","","Durham County",345000,"2023-06-05",2023,147791,0.428379710144928
"118334",821814624,"111   DUNSTAN AVE","RES/ 1-FAMILY",218942,"R821B - SOUTHSIDE",363870,94140,94140,94140,66.1946999662011,"SOUTHSIDE","","Durham County",330000,"2023-09-01",2023,94140,0.285272727272727
"118338",821815576,"119   DUNSTAN AVE","RES/ 1-FAMILY",252128,"R821B - SOUTHSIDE",426490,252128,252128,252128,69.156142911537,"SOUTHSIDE","","Durham County",375000,"2024-06-24",2024,252128,0.672341333333333
"118339",821816515,"121   DUNSTAN AVE","RES/ 1-FAMILY",246395,"R821B - SOUTHSIDE",443535,246395,246395,246395,80.0097404573957,"SOUTHSIDE","","Durham County",4e+05,"2022-10-19",2022,246395,0.6159875
"118355",821913224,"411   DUNSTAN AVE","RES/ 1-FAMILY",108440,"R821B - SOUTHSIDE",168872,108440,108440,108440,55.7285134636665,"SOUTHSIDE","","Durham County",165000,"2024-09-30",2024,108440,0.657212121212121
"118364",821912401,"408   PRICE AVE","RES/ 1-FAMILY",225528,"R821B - SOUTHSIDE",387838,91185,91185,225528,71.9688907807456,"SOUTHSIDE","","Durham County",375000,"2022-01-31",2022,91185,0.24316
"118367",821910415,"312   PRICE AVE","RES/ 1-FAMILY",250117,"R821B - SOUTHSIDE",635130,96143,96143,138248,153.933159281456,"SOUTHSIDE","","Durham County",177000,"2022-12-16",2022,96143,0.543180790960452
"118376",821914524,"421   PRICE AVE","RES/ 2-FAMILY",69225,"R830G - HABITATE HAY DEVELOPMENT",263294,69025,69225,69225,280.345250993138,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",169000,"2021-11-30",2021,69025,0.408431952662722
"118377",821914479,"425   PRICE AVE","RES/ 3-FAMILY",105656,"R830G - HABITATE HAY DEVELOPMENT",285043,105656,105656,105656,169.784016052094,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",135000,"2023-09-07",2023,105656,0.782637037037037
"118378",821915446,"1504   FAYETTEVILLE ST","RES/ 1-FAMILY",35730,"R830G - HABITATE HAY DEVELOPMENT",396968,35730,35730,35730,1011.02155051777,"HABITATE HAY DEVELOPMENT","Grant Street","Durham County",394500,"2024-07-29",2024,35730,0.0905703422053232
"118395",821924121,"316   LINWOOD AVE","RES/ 1-FAMILY",77844,"R821A - SOUTHSIDE NEW CONSTR",239956,77844,77844,77844,208.252402240378,"SOUTHSIDE NEW CONSTR","","Durham County",165000,"2024-04-25",2024,77844,0.471781818181818
"118402",821821662,"1113   SCOUT DR","RES/ 1-FAMILY",168914,"R821B - SOUTHSIDE",303490,98505,98505,168914,79.6713120286063,"SOUTHSIDE","Southside / St. Teresa","Durham County",285000,"2023-02-22",2023,168914,0.592680701754386
"118418",821825835,"118  E ENTERPRISE ST","RES/ 1-FAMILY",301186,"R821A - SOUTHSIDE NEW CONSTR",461097,301186,301186,301186,53.0937692987058,"SOUTHSIDE NEW CONSTR","Southside / St. Teresa","Durham County",417000,"2022-06-01",2022,301186,0.722268585131895
"118429",821729940,"107  W ENTERPRISE ST","RES/ 1-FAMILY",368009,"R821A - SOUTHSIDE NEW CONSTR",616846,368009,368009,368009,67.6170963210139,"SOUTHSIDE NEW CONSTR","Southside / St. Teresa","Durham County",633500,"2022-06-22",2022,368009,0.580913970007893
"118432",821728820,"1105   SOUTH ST","RES/ 1-FAMILY",261066,"R821B - SOUTHSIDE",492257,261066,261066,261066,88.5565335968682,"SOUTHSIDE","Southside / St. Teresa","Durham County",475000,"2021-03-16",2021,261066,0.549612631578947
"118441",821729792,"1110   SCOUT DR","RES/ 1-FAMILY",384217,"R821B - SOUTHSIDE",554402,345425,384217,384217,44.2939797041776,"SOUTHSIDE","Southside / St. Teresa","Durham County",575000,"2021-09-09",2021,345425,0.600739130434783
"118449",821724525,"1115   FARGO ST","RES/ 1-FAMILY",167710,"R821B - SOUTHSIDE",272729,113230,113230,167710,62.619402540099,"SOUTHSIDE","Southside / St. Teresa","Durham County",240000,"2022-07-08",2022,113230,0.471791666666667
"118453",821725455,"1122   SOUTH ST","RES/ 1-FAMILY",166575,"R821B - SOUTHSIDE",284528,166575,166575,166575,70.8107459102506,"SOUTHSIDE","Southside / St. Teresa","Durham County",280000,"2024-05-20",2024,166575,0.594910714285714
"118455",821725574,"1118   SOUTH ST","RES/ 1-FAMILY",307795,"R821B - SOUTHSIDE",488591,307795,307795,307795,58.7390958267678,"SOUTHSIDE","Southside / St. Teresa","Durham County",450000,"2021-12-09",2021,307795,0.683988888888889
"118469",821722774,"1108   FARGO ST","RES/ 1-FAMILY",251150,"R821B - SOUTHSIDE",396778,251150,251150,251150,57.9844714314155,"SOUTHSIDE","Southside / St. Teresa","Durham County",382500,"2022-05-31",2022,251150,0.656601307189542
"118473",821723814,"1104   FARGO ST","RES/ 2-FAMILY",423536,"R821B - SOUTHSIDE",879384,55750,241415,423536,107.629103547278,"SOUTHSIDE","Southside / St. Teresa","Durham County",899000,"2022-07-18",2022,241415,0.268537263626251
"118478",821820293,"110   LODGE ST","RES/ 1-FAMILY",182820,"R821B - SOUTHSIDE",252509,101951,101951,101951,38.1189147795646,"SOUTHSIDE","Southside / St. Teresa","Durham County",227000,"2023-10-18",2023,101951,0.449123348017621
"118489",821824497,"1208  S ROXBORO ST","RES/ 1-FAMILY",106316,"R821B - SOUTHSIDE",280746,106316,106316,106316,164.067496896046,"SOUTHSIDE","Southside / St. Teresa","Durham County",84000,"2021-10-28",2021,106316,1.26566666666667
"118497",821822428,"104  E UMSTEAD ST","RES/ 3-FAMILY",293845,"R821B - SOUTHSIDE",471065,152864,293845,293845,60.3107080263404,"SOUTHSIDE","Southside / St. Teresa","Durham County",385000,"2022-03-09",2022,293845,0.763233766233766
"118499",821821369,"1205   SCOUT DR","RES/ 1-FAMILY",394564,"R821B - SOUTHSIDE",699351,394564,394564,394564,77.2465303474215,"SOUTHSIDE","Southside / St. Teresa","Durham County",680000,"2023-08-01",2023,394564,0.580241176470588
"118501",821821321,"1209   SCOUT DR","RES/ 1-FAMILY",350172,"R821B - SOUTHSIDE",564887,350172,350172,350172,61.3170099265504,"SOUTHSIDE","Southside / St. Teresa","Durham County",6e+05,"2023-06-21",2023,350172,0.58362
"118520",821723261,"1207   FARGO ST","RES/ 2-FAMILY",247955,"R821B - SOUTHSIDE",361660,124046,124046,124046,45.8571111693654,"SOUTHSIDE","Southside / St. Teresa","Durham County",330000,"2023-06-22",2023,124046,0.37589696969697
"118547",821724086,"1302   SOUTH ST","RES/ 2-FAMILY",271174,"R821B - SOUTHSIDE",474364,134974,134974,271174,74.9297499022768,"SOUTHSIDE","Southside / St. Teresa","Durham County",430000,"2023-11-30",2023,271174,0.630637209302326
"118548",821724191,"1300   SOUTH ST","RES/ 2-FAMILY",109507,"R821B - SOUTHSIDE",287514,109507,109507,109507,162.553078798616,"SOUTHSIDE","Southside / St. Teresa","Durham County",287000,"2024-10-03",2024,109507,0.381557491289199
"118551",821725226,"1204   SOUTH ST","RES/ 2-FAMILY",175761,"R821B - SOUTHSIDE",259863,108842,108842,175761,47.8502056770273,"SOUTHSIDE","Southside / St. Teresa","Durham County",205000,"2022-08-16",2022,108842,0.530936585365854
"118554",821716952,"1307   SOUTH ST","RES/ 1-FAMILY",344143,"R821B - SOUTHSIDE",614049,344143,344143,344143,78.4284439898531,"SOUTHSIDE","Southside / St. Teresa","Durham County",601000,"2022-11-17",2022,344143,0.572617304492512
"118555",821717953,"114   BOND ST","RES/ 1-FAMILY",413013,"R821B - SOUTHSIDE",623696,413013,413013,413013,51.0112272495055,"SOUTHSIDE","Southside / St. Teresa","Durham County",615000,"2024-09-10",2024,413013,0.671565853658537
"118559",821719779,"1314  S ROXBORO ST","RES/ 1-FAMILY",147635,"R821B - SOUTHSIDE",375094,147635,147635,147635,154.068479696549,"SOUTHSIDE","Southside / St. Teresa","Durham County",358000,"2022-05-10",2022,147635,0.412388268156425
"118561",821810838,"1310  S ROXBORO ST","RES/ 1-FAMILY",267715,"R821B - SOUTHSIDE",449285,90893,259520,259520,67.822124273948,"SOUTHSIDE","Southside / St. Teresa","Durham County",430000,"2021-12-17",2021,90893,0.211379069767442
"118562",821810962,"1308  S ROXBORO ST","RES/ 1-FAMILY",339706,"R821B - SOUTHSIDE",491148,339706,339706,339706,44.5803135652594,"SOUTHSIDE","Southside / St. Teresa","Durham County",440000,"2023-06-01",2023,339706,0.772059090909091
"118568",821729086,"109   LODGE ST","RES/ 1-FAMILY",109564,"R821B - SOUTHSIDE",266812,109564,109564,109564,143.521594684385,"SOUTHSIDE","Southside / St. Teresa","Durham County",110000,"2021-09-21",2021,109564,0.996036363636364
"118574",821727054,"1307   SCOUT DR","RES/ 1-FAMILY",234375,"R821B - SOUTHSIDE",451907,234375,234375,234375,92.8136533333333,"SOUTHSIDE","Southside / St. Teresa","Durham County",475000,"2023-11-20",2023,234375,0.493421052631579
"118585",821718735,"107   BOND ST","RES/ 1-FAMILY",343215,"R821B - SOUTHSIDE",475968,283257,343215,343215,38.679253529129,"SOUTHSIDE","Southside / St. Teresa","Durham County",368000,"2021-06-16",2021,283257,0.769720108695652
"118588",821830965,"128   CHESTNUT ST","RES/ 1-FAMILY",400423,"R821A - SOUTHSIDE NEW CONSTR",592668,400423,400423,400423,48.0104789185436,"SOUTHSIDE NEW CONSTR","Southside / St. Teresa","Durham County",588000,"2021-09-22",2021,400423,0.68099149659864
"118593",821833917,"118   CHESTNUT ST","RES/ 1-FAMILY",367386,"R821A - SOUTHSIDE NEW CONSTR",577694,367386,367386,367386,57.2444241206796,"SOUTHSIDE NEW CONSTR","Southside / St. Teresa","Durham County",615000,"2022-03-17",2022,367386,0.597375609756098
"118598",821845055,"108   CHESTNUT ST","RES/ 1-FAMILY",285050,"R821A - SOUTHSIDE NEW CONSTR",540888,285050,285050,285050,89.7519733380109,"SOUTHSIDE NEW CONSTR","Southside / St. Teresa","Durham County",586000,"2023-06-29",2023,285050,0.486433447098976
"118599",821845096,"106   CHESTNUT ST","RES/ 1-FAMILY",341017,"R821A - SOUTHSIDE NEW CONSTR",611591,341017,341017,341017,79.3432585472278,"SOUTHSIDE NEW CONSTR","Southside / St. Teresa","Durham County",615000,"2023-06-29",2023,341017,0.55449918699187
"118600",821846037,"104   CHESTNUT ST","RES/ 1-FAMILY",378894,"R821A - SOUTHSIDE NEW CONSTR",540507,340002,378894,378894,42.6538820883941,"SOUTHSIDE NEW CONSTR","Southside / St. Teresa","Durham County",5e+05,"2021-05-20",2021,340002,0.680004
"118605",821846297,"700  S ROXBORO ST","RES/ 1-FAMILY",345489,"R821A - SOUTHSIDE NEW CONSTR",525172,345489,345489,345489,52.0083128551126,"SOUTHSIDE NEW CONSTR","Southside / St. Teresa","Durham County",4e+05,"2021-03-30",2021,345489,0.8637225
"118607",821845168,"107   HILLSIDE AVE","RES/ 1-FAMILY",265667,"R821A - SOUTHSIDE NEW CONSTR",447749,265667,265667,265667,68.5376806302627,"SOUTHSIDE NEW CONSTR","Southside / St. Teresa","Durham County",380000,"2021-12-17",2021,265667,0.699123684210526
"118611",821843172,"115   HILLSIDE AVE","RES/ 1-FAMILY",81856,"R821A - SOUTHSIDE NEW CONSTR",193031,81037,81037,81037,135.817777560594,"SOUTHSIDE NEW CONSTR","Southside / St. Teresa","Durham County",175000,"2023-03-28",2023,81037,0.463068571428571
"118627",821836882,"806  S ROXBORO ST","RES/ 1-FAMILY",257911,"R821A - SOUTHSIDE NEW CONSTR",402439,257911,257911,257911,56.0379355669204,"SOUTHSIDE NEW CONSTR","Southside / St. Teresa","Durham County",379000,"2022-04-26",2022,257911,0.680503957783641
"118638",821831643,"905   SCOUT DR","RES/ 1-FAMILY",253309,"R821A - SOUTHSIDE NEW CONSTR",430983,84954,84954,253309,70.1412109321027,"SOUTHSIDE NEW CONSTR","Southside / St. Teresa","Durham County",415000,"2022-06-23",2022,84954,0.20470843373494
"118640",821831572,"909   SCOUT DR","RES/ 1-FAMILY",393540,"R821A - SOUTHSIDE NEW CONSTR",658843,353187,353187,393540,67.414494079382,"SOUTHSIDE NEW CONSTR","Southside / St. Teresa","Durham County",623000,"2023-04-26",2023,393540,0.631685393258427
"118659",821832739,"121   CHESTNUT ST","RES/ 2-FAMILY",241337,"R821A - SOUTHSIDE NEW CONSTR",388554,135758,135758,234841,61.0005925324339,"SOUTHSIDE NEW CONSTR","Southside / St. Teresa","Durham County",370000,"2023-04-21",2023,234841,0.634705405405405
"118663",821739861,"129   CHESTNUT ST","RES/ 1-FAMILY",467576,"R821A - SOUTHSIDE NEW CONSTR",687548,443973,443973,467576,47.0451862371037,"SOUTHSIDE NEW CONSTR","Southside / St. Teresa","Durham County",640000,"2021-07-21",2021,443973,0.6937078125
"118695",821736342,"204  W PIEDMONT AVE","RES/ 1-FAMILY",103308,"R821A - SOUTHSIDE NEW CONSTR",290612,103308,103308,103308,181.30638479111,"SOUTHSIDE NEW CONSTR","Southside / St. Teresa","Durham County",221000,"2022-06-23",2022,103308,0.467457013574661
"118699",821737400,"914   SOUTH ST","RES/ 1-FAMILY",308221,"R821A - SOUTHSIDE NEW CONSTR",561853,308221,308221,308221,82.2890069138702,"SOUTHSIDE NEW CONSTR","Southside / St. Teresa","Durham County",565000,"2023-03-23",2023,308221,0.54552389380531
"118738",821830035,"104  W ENTERPRISE ST","RES/ 1-FAMILY",308031,"R821A - SOUTHSIDE NEW CONSTR",579193,308031,308031,308031,88.0307501517704,"SOUTHSIDE NEW CONSTR","Southside / St. Teresa","Durham County",585000,"2024-07-18",2024,308031,0.526548717948718
"118755",821732019,"308  W ENTERPRISE ST","RES/ 1-FAMILY",435743,"R821A - SOUTHSIDE NEW CONSTR",696456,390287,435743,435743,59.8318274762876,"SOUTHSIDE NEW CONSTR","Southside / St. Teresa","Durham County",540000,"2021-01-08",2021,390287,0.722753703703704
"118757",821733058,"302  W ENTERPRISE ST","RES/ 1-FAMILY",409140,"R821A - SOUTHSIDE NEW CONSTR",617902,409140,409140,409140,51.0245881605318,"SOUTHSIDE NEW CONSTR","Southside / St. Teresa","Durham County",625000,"2024-07-17",2024,409140,0.654624
"118878",831405752,"642   TROY ST","RES/ 1-FAMILY",73565,"R831A - DURHAM COTTON MANUF",264042,73565,73565,73565,258.92340107388,"DURHAM COTTON MANUF","","Durham County",199500,"2021-12-06",2021,73565,0.36874686716792
"118883",831406955,"622   TROY ST","RES/ 1-FAMILY",67785,"R831A - DURHAM COTTON MANUF",225715,67785,67785,67785,232.986648963635,"DURHAM COTTON MANUF","","Durham County",96000,"2021-06-14",2021,67785,0.70609375
"118884",831406979,"618   TROY ST","RES/ 1-FAMILY",130305,"R831A - DURHAM COTTON MANUF",429675,100783,100783,100783,229.745596868885,"DURHAM COTTON MANUF","","Durham County",4e+05,"2023-04-25",2023,100783,0.2519575
"118885",831416094,"614   TROY ST","RES/ 1-FAMILY",71933,"R831A - DURHAM COTTON MANUF",289965,71933,71933,71933,303.104277591648,"DURHAM COTTON MANUF","","Durham County",245000,"2022-03-14",2022,71933,0.293604081632653
"118886",831417019,"610   TROY ST","RES/ 2-FAMILY",109720,"R831A - DURHAM COTTON MANUF",367081,93862,93862,93862,234.561611374408,"DURHAM COTTON MANUF","","Durham County",353000,"2023-07-03",2023,93862,0.265898016997167
"118888",831415160,"607   BACON ST","RES/ 1-FAMILY",78074,"R831A - DURHAM COTTON MANUF",254744,78074,78074,78074,226.28531905628,"DURHAM COTTON MANUF","","Durham County",120000,"2022-09-13",2022,78074,0.650616666666667
"118892",831404868,"617   BACON ST","RES/ 1-FAMILY",81945,"R831A - DURHAM COTTON MANUF",233948,59426,59426,81945,185.49392885472,"DURHAM COTTON MANUF","","Durham County",177500,"2023-03-23",2023,81945,0.461661971830986
"118894",831404717,"621   BACON ST","RES/ 1-FAMILY",64127,"R831A - DURHAM COTTON MANUF",254692,64127,64127,64127,297.168119512842,"DURHAM COTTON MANUF","","Durham County",250000,"2024-04-22",2024,64127,0.256508
"118896",831403666,"701   BACON ST","RES/ 1-FAMILY",95821,"R831A - DURHAM COTTON MANUF",298242,78996,78996,95821,211.249099884159,"DURHAM COTTON MANUF","","Durham County",180000,"2022-04-20",2022,78996,0.438866666666667
"118899",831404434,"666   TROY ST","RES/ 1-FAMILY",96369,"R831A - DURHAM COTTON MANUF",304016,57994,57994,57994,215.47074266621,"DURHAM COTTON MANUF","","Durham County",269000,"2023-07-26",2023,57994,0.215591078066914
"118905",831409427,"626   MIDDLE ST","RES/ 2-FAMILY",97387,"R831A - DURHAM COTTON MANUF",270122,97387,97387,97387,177.36966946307,"DURHAM COTTON MANUF","","Durham County",265000,"2024-12-23",2024,97387,0.367498113207547
"118907",831409542,"624   MIDDLE ST","RES/ 2-FAMILY",87219,"R831A - DURHAM COTTON MANUF",305724,87219,87219,87219,250.524541670966,"DURHAM COTTON MANUF","","Durham County",225500,"2022-06-01",2022,87219,0.386780487804878
"118950",831504599,"613   RESERVOIR ST","RES/ 1-FAMILY",88710,"R831A - DURHAM COTTON MANUF",270747,88710,88710,88710,205.204599256003,"DURHAM COTTON MANUF","","Durham County",110000,"2022-09-12",2022,88710,0.806454545454545
"118988",831401930,"621   BERNICE ST","RES/ 1-FAMILY",63031,"R831A - DURHAM COTTON MANUF",209719,63031,63031,63031,232.723580460408,"DURHAM COTTON MANUF","","Durham County",124000,"2021-04-22",2021,63031,0.508314516129032
"118990",831402810,"622   BACON ST","RES/ 1-FAMILY",98376,"R831A - DURHAM COTTON MANUF",222398,98376,98376,98376,126.069366512157,"DURHAM COTTON MANUF","","Durham County",220000,"2024-10-16",2024,98376,0.447163636363636
